Age,Gender,Locality,Marital Status,Category,Economic Status,Institution type,Affiliation,Mode of Study,Undergraduate,Postgraduate,Semester,Mother's Education ,Father's Education ,Pre-Owned Disease - Mental,Pre-Owned Disease - Physical ,"PI [In case of some difficult subjects, I can't concentrate in the class.]",PI [While listening to the lectures I keep on making movements.],PI [I become uneasy or uncomfortable about my inability to take the decision about which subject and how much should I study.],PI [I feel like postponing study plan.],PI [I feel to bunk lectures when I do not understand class lectures.],PI [I become uncomfortable as I do not concentrate on my study.],PI [I experience heaviness of head while studying some subjects.],PI [I become anxious with a thought that I have a low intellectual level.],PI [I become uneasy when I fail to remember my study.],PI [I become fatigued after the study.],PI [I experience heaviness in the head when I see books and notes.],PI [I become uneasy with the idea of whether to play or study.],"PI [While studying, I feel that some subjects are beyond my grasp.]",PI [I experience duality of mind whether the selected curriculum is proper or improper for me.],"PI [Due to the dislike for some subjects, I do not feel like studying.]",PI [I am in the habit of daydreaming while listening to the lectures or studying.],IPT [I get bored with uninterested teaching.],IPT [I am afraid of examinations due to the incomplete syllabus.],IPT [I become restless when I realize that my friends have completed their study.],IPT [There is a burden of high expectations of teachers upon me.],IPT [I get irritated due to the teacher's partiality.],"IPT [I become uneasy when my friends who get the same marks like me, are appreciated by others.]",IPT [I become uncomfortable when I do not get the appointment of the teachers for clearing my doubts.],IPT [I have to study regularly in order to get more marks than my friends.],IPT [I feel like avoiding the college as my friends tease me.],IPT [I get angry because some teachers avoid lectures.],IPT [I have a pressure of completing home assignments in time.],IPT [I become frightened while answering the questions asked by the teachers.],IPT [I feel the pressure of teachers' strict discipline.],IPT [I become uneasy when I waste my time in the company of my friends.],IPT [I feel pressure while communicating with teachers due to the internal disputes between them.],IPT [I dare not asking questions to the teachers.],"IPT [Due to the grouping of students, I always feel under the pressure.]",FE [I become restless due to the non-preparation in the examination.],FE [I become sad or nervous with the idea of getting fewer marks in the examination.],FE [I become irritated because I do not get enough sleep during the examination.],FE [It troubles me that I might fell sick during the examination.],FE [I have become insensitive due to exhaustive study.],FE [I experience the problem of indigestion during examination time.],FE [I become frightened while entering the examination hall.],FE [I am afraid of failure in the examination despite good study.],FE [I frequently become sick during the examination.],FE [I don't have sound sleep due to the thoughts of examination.],FE [I become tense due to the incomplete study of some subjects.],IFC [I become unenthusiastic due to the non-ventilated atmosphere in the classroom.],IFC [I become angry due to the non-cooperation of the non-teaching staff.],IFC [I become nervous if I do not get a seat in the study room.],IFC [I get bored due to non-ventilated classrooms.],IFC [The constant noise around the college campus troubles me.],IFC [Academic overload makes me tired.],IFC [I become fatigued due to the busy academic schedule of college.],IFC [I feel like taking holiday due to the academic burden.],"IFC [Due to unavailability of expert teachers and inadequate subject knowledge of teachers, I become uncomfortable.]",PE&SES [I feel the pressure of strict disciplined parents.],PE&SES [I get tired adjusting with study and household duties.],PE&SES [There is a pressure of parents on me to get highest marks.],PE&SES [I become nervous as I can't participate in trip due to financial problems.],PE&SES [There is a pressure of parents on me to study hard instead of wasting time in the company of friends.],PE&SES [The financial problem of my family makes me anxious.],PE&SES [I am irritated with the constant suggestions by the parents for study.],PE&SES [There is a pressure of returning home early from the college.],PE&SES [I become sad because I cannot enjoy like my other friends due to financial problems.],PE&SES [There is a pressure of parents on me to score more marks than my friends.],PE&SES [I feel nervous because I can't purchase reference books or notes in time.],PE&SES [I suffer from an inferiority complex because the social status of my family is low compared to friends.],PE&SES [There is a pressure of parents on me to participate in extracurricular activities.],PI_Score,IPT_Score,FE_Score,IFC_Score,PESES_Score,Total_Stress_Score
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Government,Regular mode,Arts,Not Applicable,Third,Literate,Literate,No,No,4,1,4,2,2,4,4,4,4,2,2,2,4,2,4,2,2,2,4,3,4,2,4,4,2,4,4,2,2,4,2,4,2,4,4,4,2,2,3,2,2,2,4,4,2,4,2,4,4,2,4,4,4,2,4,4,2,4,4,2,4,2,3,4,2,2,47,51,33,30,39,200
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,First,Literate,Literate,No,No,4,3,4,3,3,4,4,5,5,4,4,3,4,4,4,3,5,3,4,3,4,4,4,4,3,3,3,4,3,3,3,4,3,4,5,4,4,3,3,3,5,3,3,4,4,3,5,4,5,4,3,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,61,60,41,35,41,238
Between 18 to 25,Male,Rural,Unmarried,Scheduled Tribe,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,First,Literate,Graduate,No,No,5,3,5,3,5,5,1,2,3,1,3,5,3,4,5,4,3,5,3,2,1,3,1,1,3,1,3,2,2,4,3,3,5,4,5,3,5,2,5,3,3,4,2,5,5,3,3,5,4,3,4,3,3,3,3,4,3,3,4,5,2,1,3,1,4,3,57,45,41,33,39,215
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,First,Literate,Literate,No,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,4,4,3,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48,54,40,27,39,208
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,First,Graduate,Graduate,No,No,3,4,5,4,4,4,3,3,4,3,2,3,4,4,4,4,4,2,2,2,2,2,2,1,2,4,3,3,3,2,3,3,3,4,5,4,5,4,2,2,3,3,3,2,3,3,3,3,4,3,4,4,3,3,4,4,3,2,2,4,2,2,2,2,1,2,58,43,37,30,33,201
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,First,Literate,Above Graduation,No,No,3,1,2,4,3,4,4,2,1,3,4,2,4,4,3,3,4,4,4,4,2,2,2,4,1,4,4,4,2,2,2,4,1,4,4,4,4,4,4,4,1,3,5,4,4,2,5,4,2,2,2,4,2,3,4,2,4,4,5,2,2,4,3,4,3,2,47,50,41,27,42,207
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Fifth,Literate,Intermediate,No,No,4,4,5,4,4,4,3,5,4,4,3,4,4,4,4,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,5,4,4,4,3,3,4,3,3,3,3,3,5,4,3,3,3,3,3,3,3,4,3,4,3,4,3,4,3,3,4,3,3,3,3,63,57,38,29,43,230
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Not Applicable,Arts,First,Literate,Literate,No,No,2,4,5,5,2,2,4,2,2,2,5,4,4,2,2,2,4,5,4,5,1,4,3,4,1,4,4,1,1,4,1,2,2,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,4,4,4,2,2,5,3,5,5,5,2,2,4,1,5,1,1,1,49,50,55,30,40,224
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,First,Literate,Literate,No,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48,51,33,27,39,198
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,First,Literate,Literate,No,No,3,4,4,4,5,3,5,5,3,5,4,5,4,5,4,5,4,5,3,5,4,3,5,4,5,4,3,4,4,5,3,4,5,5,4,5,4,5,4,4,5,3,5,5,5,4,5,4,5,3,5,3,5,5,4,5,3,5,5,4,3,5,4,4,4,5,68,70,49,39,56,282
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Third,Intermediate,Intermediate,No,No,1,1,1,2,3,1,3,4,5,3,4,1,1,1,1,4,1,1,1,4,1,1,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,5,5,1,1,1,1,1,36,28,15,13,25,117
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Literate,Literate,No,No,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,4,2,3,3,2,3,2,2,3,2,3,2,1,2,3,2,1,2,2,2,2,1,1,2,2,1,2,1,1,2,1,34,32,27,18,20,131
Between 18 to 25,Female,Rural,Unmarried,Scheduled Tribe,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,First,Literate,Literate,No,No,4,3,5,1,1,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1,1,1,4,5,1,1,1,1,4,5,1,1,5,4,4,4,1,5,1,1,1,5,1,1,1,4,1,1,1,1,1,1,1,4,4,52,56,29,26,22,185
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Antyodaya,College,Government,Distance mode,Arts,Arts,First,Above Graduation,Intermediate,No,No,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,5,4,5,4,5,4,4,5,4,4,5,4,5,4,5,4,67,75,46,41,57,286
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Distance mode,Arts,Arts,Third,Intermediate,Graduate,No,No,4,3,4,3,1,2,1,3,3,2,2,3,2,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,4,3,2,4,4,2,4,3,42,54,29,26,39,190
Between 18 to 25,Female,Urban,Unmarried,General,Antyodaya,College,Government,Distance mode,Arts,Arts,Third,Intermediate,Intermediate,No,No,4,4,2,2,2,5,3,3,4,4,1,3,2,3,2,4,4,2,2,4,5,5,5,3,2,5,2,4,4,2,3,3,4,4,5,4,4,4,4,2,2,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,48,59,41,34,50,232
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Fifth,Literate,Intermediate,No,No,4,3,4,2,1,3,1,3,3,2,1,3,2,2,2,2,4,3,2,1,2,1,2,2,3,3,4,3,2,4,3,4,2,2,2,1,4,2,2,3,4,2,2,2,4,4,2,2,4,3,2,2,4,3,2,3,4,4,4,1,1,1,3,2,3,3,38,45,26,27,34,170
Between 18 to 25,Female,Rural,Unmarried,General,Antyodaya,College,Government,Regular mode,Arts,Not Applicable,Fifth,Literate,Literate,No,No,3,1,3,2,3,4,2,2,2,2,2,3,3,2,2,3,3,2,2,3,3,3,2,4,3,2,3,3,2,4,3,2,3,4,2,1,4,3,2,2,3,1,1,3,2,2,3,2,2,3,3,3,2,2,3,2,2,2,4,3,2,3,2,2,2,3,39,47,26,22,32,166
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,Third,Above Graduation,Above Graduation,No,No,4,3,4,2,4,2,4,1,4,2,2,5,2,5,5,1,4,2,2,1,2,2,4,5,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,4,4,4,2,4,4,2,2,2,1,2,2,5,1,5,1,2,2,1,4,2,1,2,50,42,24,25,30,171
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,First,Literate,Literate,No,No,5,1,4,1,1,4,5,5,5,3,1,2,4,3,2,1,4,4,4,1,2,2,4,4,2,2,2,4,2,3,5,4,3,4,5,5,4,2,4,5,5,2,3,3,5,4,5,5,5,4,3,4,3,4,4,1,4,2,2,2,3,5,2,5,5,2,47,52,42,38,41,220
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Above Graduation,Above Graduation,No,No,4,4,5,4,4,3,3,4,4,3,3,4,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,60,51,34,27,39,211
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Fifth,Intermediate,Graduate,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64,68,44,36,52,264
Between 18 to 25,Female,Urban,Married,General,Below Poverty Line (BPL),College,Private,Regular mode,Arts,Not Applicable,First,Literate,Literate,No,No,3,2,4,2,2,4,3,5,4,3,2,2,3,4,3,2,2,3,4,3,2,2,5,4,2,3,3,4,2,4,2,4,2,4,4,3,3,2,2,4,4,2,4,4,4,4,3,4,4,3,4,3,4,2,3,2,3,3,4,2,4,4,2,4,3,3,48,51,36,33,39,207
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Fifth,Literate,Literate,No,No,4,4,3,4,3,4,5,4,3,4,5,4,4,5,3,4,4,4,4,5,4,5,3,4,3,4,5,4,4,4,5,4,4,3,2,2,1,1,2,1,1,1,1,3,3,2,1,2,2,1,2,2,3,4,3,3,5,3,4,3,4,3,4,3,1,1,63,70,18,18,41,210
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Literate,Literate,No,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,5,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,1,1,5,1,5,1,1,5,1,5,5,1,80,37,47,29,33,226
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Intermediate,Intermediate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,2,5,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,37,33,18,26,146
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,First,Above Graduation,Above Graduation,No,No,3,2,2,4,2,3,3,2,2,2,2,3,2,2,2,2,4,4,2,4,2,2,2,3,2,3,2,2,2,3,2,2,2,4,4,2,2,2,2,2,4,3,2,3,2,4,3,3,3,4,4,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,38,43,30,30,27,168
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Third,Literate,Intermediate,No,No,3,4,4,4,2,2,4,2,2,3,4,4,4,2,4,4,3,4,2,1,3,3,3,4,3,2,1,4,2,2,1,4,4,5,5,5,5,5,4,2,3,4,4,4,4,3,4,4,3,2,2,1,2,1,2,4,3,2,5,4,2,2,2,2,2,2,52,46,46,25,33,202
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Antyodaya,University,Government,Regular mode,Arts,Arts,Fifth,Literate,Intermediate,No,No,5,4,4,5,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64,34,44,36,52,230
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Third,Literate,Literate,No,No,4,3,3,4,2,4,4,4,4,4,3,4,4,4,3,2,3,4,4,3,2,2,3,2,3,2,2,2,2,3,2,3,3,4,4,2,2,3,3,2,4,2,3,4,2,2,4,4,3,2,4,3,3,2,3,2,4,3,5,4,2,4,2,3,4,4,56,45,33,27,42,203
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Fifth,Above Graduation,Above Graduation,No,No,2,2,2,2,3,2,2,3,3,3,3,3,2,2,3,3,4,4,3,4,5,3,3,5,3,3,5,5,5,3,3,5,5,3,5,3,5,3,4,5,3,3,5,5,5,3,4,4,3,4,4,3,4,4,3,4,3,3,4,3,4,5,5,4,5,4,40,68,44,34,51,237
Between 18 to 25,Female,Rural,Unmarried,General,Antyodaya,College,Private,Regular mode,Arts,Arts,Fifth,Intermediate,Intermediate,No,No,4,5,3,5,5,5,3,4,4,4,4,3,3,4,4,3,4,4,3,3,1,2,3,3,2,2,3,2,2,2,3,2,2,3,4,3,4,4,3,4,3,4,3,3,4,4,3,4,3,4,4,3,4,4,4,3,3,3,4,4,3,3,4,3,3,3,63,43,38,33,44,221
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Fifth,Graduate,Above Graduation,No,No,3,4,2,2,3,3,2,2,2,2,1,2,2,3,2,3,4,3,4,3,4,2,3,2,3,4,2,2,2,3,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,4,3,4,4,3,3,3,4,1,3,2,1,4,1,1,2,1,2,1,1,3,38,47,24,32,23,164
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Fifth,Graduate,Graduate,No,No,2,2,2,2,2,2,4,3,4,3,2,2,2,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,4,4,3,4,3,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,39,38,33,18,27,155
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),College,Government,Regular mode,Arts,BA first sem ,First,Literate,Above Graduation,No,No,2,2,2,2,4,4,4,2,4,4,4,2,4,4,2,4,4,2,4,2,2,2,2,3,2,2,2,2,2,3,2,2,2,4,2,4,4,4,2,4,2,2,4,2,2,2,2,2,4,2,2,2,2,2,5,4,4,2,3,2,2,3,2,4,2,2,50,40,34,20,37,181
Between 18 to 25,Female,Urban,Unmarried,General,Antyodaya,College,Government,Distance mode,Arts,Arts,Fifth,Literate,Literate,No,No,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,5,4,3,3,4,4,4,4,4,5,3,3,3,4,5,4,3,3,5,5,3,3,3,4,3,3,3,4,3,3,3,3,4,3,4,3,4,3,4,4,3,4,4,3,52,63,41,29,46,231
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,No,Fifth,Intermediate,Graduate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,32,34,22,18,39,145
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Above Graduation,Literate,No,No,3,4,4,4,3,5,3,4,5,3,3,3,4,4,3,4,4,3,3,4,5,4,4,3,3,5,3,3,3,5,3,3,5,4,5,3,3,4,3,3,3,3,3,4,3,5,3,4,4,4,3,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,59,63,38,33,41,234
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Not Applicable,Fifth,Intermediate,Intermediate,No,No,4,2,4,2,4,4,3,2,4,4,2,4,4,4,4,2,3,4,2,2,3,1,4,2,2,2,2,2,2,2,2,3,2,4,4,2,3,3,3,2,3,2,3,4,3,3,4,4,4,2,3,2,3,3,4,2,4,4,4,2,3,4,3,4,2,2,53,40,33,28,41,195
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Graduate,Graduate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,34,22,18,26,132
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,First,Literate,Above Graduation,No,No,2,4,2,1,5,2,1,1,5,2,5,5,2,4,1,4,5,5,4,1,5,4,4,5,1,5,5,4,2,2,2,5,1,5,5,5,2,2,1,2,3,2,5,5,1,5,5,4,5,2,4,2,5,1,4,1,1,1,1,1,2,1,1,3,1,1,46,60,37,33,19,195
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Not Applicable,First,Literate,Intermediate,No,No,2,2,3,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,3,2,3,3,3,3,2,1,2,3,2,4,2,1,3,3,2,2,2,3,3,2,3,4,2,2,2,3,2,1,2,4,2,3,1,4,5,3,1,1,2,36,37,26,24,31,154
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Above Graduation,Graduate,No,No,5,3,4,3,5,4,5,5,2,1,2,2,5,5,1,5,5,5,2,1,5,1,5,2,4,5,5,5,2,1,5,5,2,5,5,5,5,1,1,1,1,4,1,3,5,5,3,5,5,1,5,4,5,5,5,2,5,5,5,5,5,2,5,5,5,1,57,60,32,38,55,242
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Graduate,Graduate,No,No,3,2,1,5,3,4,5,3,3,4,4,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,3,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,1,42,28,22,22,18,132
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Fifth,Above Graduation,Graduate,No,No,2,4,3,2,2,4,4,2,3,2,1,2,1,2,2,3,4,3,2,3,3,2,2,3,1,2,2,2,2,3,2,2,2,4,4,2,2,2,2,3,4,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,39,40,29,19,26,153
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Arts,Arts,Third,Literate,Literate,No,No,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,4,3,4,3,3,3,3,4,4,3,3,4,3,3,3,4,3,3,4,4,4,3,3,4,3,3,3,3,3,3,2,4,4,3,3,3,3,4,1,1,3,3,3,2,2,2,2,2,2,2,2,53,56,37,29,27,202
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,First,Graduate,Literate,No,No,4,5,5,5,5,5,4,5,4,5,5,3,4,4,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,73,79,44,36,52,284
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Third,Intermediate,Above Graduation,No,No,4,4,5,5,2,2,4,4,4,5,2,4,4,3,5,5,5,4,4,4,2,2,4,2,2,4,4,4,3,4,4,4,4,4,4,2,5,4,4,4,5,5,2,4,5,5,4,4,4,3,4,3,5,4,4,5,5,5,5,2,4,5,5,4,5,5,62,60,43,37,58,260
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Third,Graduate,Graduate,No,No,4,2,4,4,2,4,4,4,4,3,2,3,4,2,4,3,4,4,2,3,4,2,4,2,2,2,2,3,2,2,2,3,2,3,2,3,4,3,3,3,4,4,3,4,4,4,4,3,4,2,2,3,3,2,4,2,3,4,4,4,3,2,2,4,2,2,53,45,36,29,38,201
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,First,Literate,Literate,No,No,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,4,2,4,3,3,2,3,4,2,2,4,4,2,4,2,2,2,4,1,1,4,4,4,4,2,4,2,2,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2,33,47,30,26,27,163
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),College,Private,Regular mode,Arts,Arts,Fifth,Literate,Literate,No,No,4,2,4,2,2,2,2,2,2,2,2,5,2,4,2,5,2,2,5,2,2,2,2,5,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,44,44,22,18,26,154
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not done yet,Fifth,Above Graduation,Intermediate,No,No,4,2,2,3,3,5,1,4,4,4,1,3,4,4,5,1,5,2,1,3,1,4,4,4,1,5,3,4,4,2,3,4,5,3,2,2,3,3,2,3,3,3,3,3,3,2,2,4,2,2,2,2,5,4,4,2,3,2,2,2,3,2,2,3,2,2,50,55,30,24,33,192
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,First,Graduate,Intermediate,No,No,4,4,4,5,2,4,2,4,4,2,2,2,4,4,2,2,4,2,4,4,4,2,5,5,2,4,2,4,4,4,2,2,2,4,2,2,5,3,4,2,2,2,3,4,4,2,4,3,2,3,3,2,3,4,2,2,3,4,2,2,2,2,2,1,1,2,51,56,33,26,29,195
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Third,Intermediate,Intermediate,No,No,4,3,4,4,1,3,3,3,4,3,4,3,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,55,39,23,20,13,150
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,First,Intermediate,Intermediate,No,No,4,4,2,4,2,4,1,1,5,1,5,5,5,4,1,5,2,2,2,5,5,1,2,2,1,2,4,4,4,5,1,1,2,4,4,4,4,2,2,2,2,2,2,4,4,5,5,4,5,2,4,4,4,2,5,2,3,4,4,2,2,4,1,2,2,2,53,45,32,37,35,202
